storage_issue_reported_l3m,approved_wh_govt_certificate,wh_age,transport_issue_l1y,temp_reg_mach,dist_from_hub,retail_shop_num,retail_distributor_ratio,workers_num,govt_check_l3m,product_wg_ton
13,2,14.0,1,0,91,4651,193.79166666666666,29.0,15,17115
4,2,14.0,0,0,210,6217,132.27659574468086,31.0,17,5074
17,2,14.0,0,0,161,4306,67.28125,37.0,22,23137
17,1,14.0,4,1,103,6000,120.0,21.0,27,22115
18,5,14.0,1,0,112,4740,112.85714285714286,25.0,24,24071
23,1,14.0,0,1,152,5053,136.56756756756758,35.0,3,32134
24,4,13.0,0,0,77,4449,117.07894736842105,27.0,6,30142
18,5,14.0,0,0,241,7183,159.62222222222223,23.0,24,24093
13,1,10.0,1,1,124,5381,128.11904761904762,22.0,2,18082
6,5,14.0,3,0,78,3869,110.54285714285714,43.0,2,7130
17,3,24.0,1,0,150,4623,149.1290322580645,37.0,6,21125
11,4,6.0,0,0,225,4627,115.675,16.0,28,14115
4,3,1.0,0,0,95,5012,104.41666666666667,28.0,1,5124
22,2,15.0,1,1,242,6858,263.7692307692308,36.0,11,30063
6,4,14.0,1,0,129,5022,73.8529411764706,37.0,9,7055
4,3,14.0,1,0,190,5062,101.24,19.0,12,5094
9,3,14.0,0,0,231,5569,348.0625,28.0,11,12127
13,2,14.0,1,0,261,5539,197.82142857142858,22.0,12,17134
29,1,22.0,1,1,159,4598,79.27586206896552,22.0,27,38082
22,4,14.0,1,0,189,5679,298.89473684210526,24.0,21,27100
19,3,7.0,0,0,65,5678,183.16129032258064,41.0,1,24062
14,3,13.0,0,1,156,3980,81.22448979591837,31.0,19,17117
28,5,26.0,0,1,199,3588,52.0,24.0,8,40150
25,5,20.0,1,0,80,4388,137.125,37.0,19,32098
12,5,14.0,0,0,140,5670,226.8,31.0,14,15125
22,4,17.0,1,0,67,5496,119.47826086956522,31.0,27,26066
8,5,14.0,3,0,229,4063,101.575,21.0,9,10077
11,5,14.0,3,0,98,5790,186.7741935483871,36.0,9,14150
0,6,14.0,1,0,154,7692,124.06451612903226,20.0,8,3123
6,2,4.0,0,1,261,5119,106.64583333333333,24.0,6,8056
12,3,6.0,0,0,230,4552,67.94029850746269,17.0,11,15082
18,3,14.0,0,1,164,3540,168.57142857142858,19.0,23,21064
34,2,20.0,0,0,197,3559,69.7843137254902,29.0,12,45061
14,1,8.0,0,1,80,6695,131.27450980392157,24.0,26,21116
16,5,11.0,0,0,262,5329,93.49122807017544,46.0,2,22055
0,6,14.0,1,0,80,5353,191.17857142857142,30.0,24,4141
34,4,25.0,0,0,125,4031,68.32203389830508,24.0,14,42116
17,4,14.0,1,0,77,6804,115.32203389830508,29.0,27,19100
0,6,2.0,0,0,94,6915,432.1875,33.0,23,6117
38,4,17.0,0,0,153,4243,184.47826086956522,43.0,19,47071
23,5,19.0,0,1,80,6729,320.42857142857144,32.0,23,32117
25,5,14.0,0,0,216,4487,97.54347826086956,28.0,21,31087
16,1,14.0,2,1,247,4714,277.29411764705884,26.0,28,20149
25,5,23.0,0,0,123,3285,58.660714285714285,28.0,28,31139
22,4,18.0,1,0,167,4922,223.72727272727272,20.0,23,27137
21,1,8.0,0,1,220,5667,89.95238095238095,38.0,14,31113
15,2,14.0,1,0,134,5551,185.03333333333333,30.0,26,20092
36,2,25.0,0,0,216,4200,73.6842105263158,39.0,28,49083
9,4,14.0,0,0,64,5601,105.67924528301887,40.0,29,10145
31,1,23.0,0,1,196,3700,56.06060606060606,26.0,10,44116
6,1,7.0,0,1,240,4020,111.66666666666667,23.0,19,8127
20,5,14.0,0,1,85,4472,89.44,23.0,6,27128
16,3,14.0,0,0,242,4248,146.48275862068965,31.0,26,20127
18,2,15.0,1,0,190,3943,103.76315789473684,19.0,1,23149
18,1,12.0,0,1,253,4897,111.29545454545455,27.0,27,23134
14,3,8.0,0,0,66,4524,82.25454545454545,24.0,13,18150
9,3,9.0,0,1,229,5559,113.44897959183673,20.0,23,10080
17,4,14.0,4,0,77,5308,76.92753623188406,39.0,23,19095
25,5,14.0,1,1,168,4004,105.36842105263158,27.0,21,32057
21,2,13.0,0,0,219,7311,117.91935483870968,34.0,17,28127
23,3,23.0,0,0,110,4657,119.41025641025641,17.0,30,27107
31,1,14.0,0,1,69,3810,70.55555555555556,30.0,13,44129
10,1,11.0,0,1,239,4445,94.57446808510639,29.0,23,13061
20,1,12.0,1,1,237,5193,173.1,26.0,32,25145
22,4,14.0,1,0,113,4770,128.9189189189189,16.0,7,26060
25,3,24.0,0,0,181,5772,206.14285714285714,32.0,25,28143
32,5,23.0,0,0,255,6074,123.95918367346938,22.0,26,44116
22,3,14.0,0,0,90,6720,224.0,25.0,17,27069
27,3,20.0,0,0,151,4135,60.80882352941177,19.0,26,34108
9,3,14.0,1,1,112,3880,168.69565217391303,35.0,32,11134
17,5,14.0,1,1,196,4821,70.8970588235294,44.0,32,22121
16,1,14.0,5,1,90,4197,144.72413793103448,38.0,22,21076
14,3,9.0,0,1,58,3820,76.4,29.0,23,18149
22,5,14.0,3,0,140,3973,110.36111111111111,22.0,6,27151
13,3,14.0,0,1,255,4244,111.6842105263158,29.0,19,17143
16,2,13.0,0,1,256,2802,70.05,28.0,24,21130
14,5,14.0,1,0,95,8913,162.05454545454546,38.0,29,18118
26,4,14.0,0,0,84,5309,331.8125,37.0,12,30115
8,5,14.0,0,0,83,5957,180.5151515151515,22.0,15,10060
6,1,14.0,2,1,173,3919,79.9795918367347,18.0,26,8102
18,4,15.0,0,0,212,7117,309.4347826086956,25.0,23,20090
14,3,14.0,1,0,158,4339,68.87301587301587,11.0,15,17140
18,2,14.0,2,0,103,4407,231.94736842105263,21.0,24,22100
26,2,14.0,0,0,55,4760,99.16666666666667,34.0,28,35130
13,5,10.0,0,0,257,5526,204.66666666666666,32.0,17,17097
18,3,12.0,0,1,70,5245,291.3888888888889,31.0,32,24113
28,1,27.0,0,1,160,4564,81.5,37.0,31,39115
14,4,11.0,0,1,181,6633,245.66666666666666,33.0,14,18123
4,5,14.0,1,0,220,6917,197.62857142857143,28.0,28,5103
6,4,4.0,0,0,96,4156,106.56410256410257,43.0,26,7118
14,5,14.0,1,0,108,4980,138.33333333333334,26.0,26,18117
23,3,12.0,1,1,271,4821,81.71186440677967,28.0,14,28094
24,2,14.0,2,0,124,4456,117.26315789473684,25.0,6,31059
16,3,14.0,2,0,263,4824,107.2,17.0,19,18080
14,3,14.0,2,0,239,3520,78.22222222222223,22.0,29,16060
22,4,14.0,0,0,234,4739,278.7647058823529,17.0,19,27150
34,5,26.0,0,0,109,5299,151.4,23.0,11,46100
14,1,14.0,1,0,198,5239,80.6,25.0,28,19131
6,3,14.0,0,0,182,6086,160.1578947368421,23.0,20,7105
0,6,2.0,0,0,173,4477,131.6764705882353,27.0,26,14130
24,4,26.0,0,1,114,5118,131.23076923076923,39.0,1,31133
8,3,14.0,0,0,166,5104,182.28571428571428,29.0,32,10140
18,1,14.0,0,0,151,5218,217.41666666666666,32.0,26,22122
14,3,7.0,0,0,96,5117,100.33333333333333,32.0,26,18139
23,5,14.0,1,0,158,5392,92.96551724137932,27.0,11,29073
12,1,8.0,0,1,141,4221,78.16666666666667,24.0,12,17058
16,4,9.0,0,0,261,6299,299.95238095238096,29.0,26,20057
10,5,3.0,0,1,165,6541,125.78846153846153,20.0,14,14103
6,5,6.0,0,0,204,5879,87.74626865671642,25.0,11,8070
11,5,14.0,1,0,262,3430,100.88235294117646,27.0,29,14105
7,2,14.0,1,0,141,5285,85.24193548387096,44.0,25,9114
4,4,14.0,0,0,60,5153,80.515625,29.0,11,5105
12,3,14.0,3,0,130,2748,49.07142857142857,22.0,23,14114
18,3,14.0,1,0,254,6590,244.07407407407408,12.0,26,22062
18,1,13.0,0,1,227,3795,135.53571428571428,31.0,32,24111
20,2,15.0,0,0,247,5278,103.49019607843137,27.0,9,28121
37,2,26.0,0,0,78,4418,69.03125,22.0,1,50124
0,6,0.0,0,0,248,4204,62.74626865671642,18.0,32,6106
28,5,14.0,1,0,252,4292,87.59183673469387,31.0,2,36111
7,3,14.0,0,0,261,6780,169.5,23.0,25,8097
14,3,14.0,3,0,177,3046,44.14492753623188,33.0,15,16150
15,4,13.0,0,0,105,4119,132.8709677419355,27.0,29,19088
26,5,23.0,0,1,69,5340,108.9795918367347,29.0,3,34129
4,4,14.0,2,0,79,6298,123.49019607843137,33.0,14,5103
