Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age
Urban,Small,West,Zone 6,3,1,2,4651,Rented,24,0,1,1,91,29.0,13,0,A,5,15,17115,14.0
Rural,Large,North,Zone 5,0,0,4,6217,Company Owned,47,0,0,1,210,31.0,4,0,A,3,17,5074,14.0
Rural,Mid,South,Zone 2,1,0,4,4306,Company Owned,64,0,0,0,161,37.0,17,0,A,6,22,23137,14.0
Rural,Mid,North,Zone 3,7,4,2,6000,Rented,50,0,0,0,103,21.0,17,1,A+,3,27,22115,14.0
Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25.0,18,0,C,6,24,24071,14.0
Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35.0,23,1,A+,3,3,32134,14.0
Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27.0,24,0,B,3,6,30142,13.0
Rural,Large,North,Zone 5,1,0,4,7183,Rented,45,0,0,0,241,23.0,18,0,C,6,24,24093,14.0
Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22.0,13,1,A+,5,2,18082,10.0
Rural,Small,South,Zone 6,4,3,3,3869,Company Owned,35,0,0,0,78,43.0,6,0,C,6,2,7130,14.0
Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37.0,17,0,B+,4,6,21125,24.0
Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16.0,11,0,B,2,28,14115,6.0
Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28.0,4,0,B+,1,1,5124,1.0
Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36.0,22,1,A,5,11,30063,15.0
Rural,Small,West,Zone 6,8,1,4,5022,Rented,68,0,0,1,129,37.0,6,0,B,3,9,7055,14.0
Rural,Mid,North,Zone 2,1,1,3,5062,Company Owned,50,0,0,1,190,19.0,4,0,B+,3,12,5094,14.0
Rural,Mid,West,Zone 4,0,0,2,5569,Company Owned,16,1,0,1,231,28.0,9,0,B+,5,11,12127,14.0
Rural,Mid,West,Zone 2,0,1,2,5539,Company Owned,28,0,0,1,261,22.0,13,0,A,4,12,17134,14.0
Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22.0,29,1,A+,5,27,38082,22.0
Rural,Small,South,Zone 1,1,1,2,5679,Rented,19,0,0,1,189,24.0,22,0,B,2,21,27100,14.0
Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41.0,19,0,B+,4,1,24062,7.0
Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31.0,14,1,B+,6,19,17117,13.0
Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24.0,28,1,C,6,8,40150,26.0
Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37.0,25,0,C,5,19,32098,20.0
Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31.0,12,0,C,2,14,15125,14.0
Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31.0,22,0,B,3,27,26066,17.0
Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21.0,8,0,C,6,9,10077,14.0
Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36.0,11,0,C,4,9,14150,14.0
Rural,Small,North,Zone 6,3,1,1,7692,Company Owned,62,1,0,0,154,20.0,0,0,Unknown,0,8,3123,14.0
Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24.0,6,1,A,1,6,8056,4.0
Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17.0,12,0,B+,5,11,15082,6.0
Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,18,1,B+,6,23,21064,14.0
Rural,Mid,South,Zone 2,4,0,3,3559,Company Owned,51,0,0,1,197,29.0,34,0,A,4,12,45061,20.0
Rural,Mid,South,Zone 4,7,0,2,6695,Rented,51,0,0,1,80,24.0,14,1,A+,3,26,21116,8.0
Rural,Small,South,Zone 6,4,0,2,5329,Company Owned,57,0,0,0,262,46.0,16,0,C,1,2,22055,11.0
Rural,Large,North,Zone 5,0,1,4,5353,Rented,28,0,0,1,80,30.0,0,0,Unknown,0,24,4141,14.0
Rural,Large,West,Zone 5,5,0,3,4031,Company Owned,59,0,0,1,125,24.0,34,0,B,5,14,42116,25.0
Rural,Mid,East,Zone 3,0,1,8,6804,Rented,59,0,0,0,77,29.0,17,0,B,4,27,19100,14.0
Rural,Large,West,Zone 6,5,0,4,6915,Company Owned,16,0,0,1,94,33.0,0,0,Unknown,0,23,6117,2.0
Rural,Mid,South,Zone 3,7,0,3,4243,Company Owned,23,0,0,1,153,43.0,38,0,B,2,19,47071,17.0
Rural,Large,West,Zone 6,3,0,4,6729,Rented,21,0,0,1,80,32.0,23,1,C,5,23,32117,19.0
Rural,Small,South,Zone 1,1,0,1,4487,Company Owned,46,0,1,1,216,28.0,25,0,C,5,21,31087,14.0
Rural,Large,North,Zone 6,5,2,2,4714,Rented,17,0,0,0,247,26.0,16,1,A+,3,28,20149,14.0
Rural,Large,North,Zone 6,5,0,2,3285,Company Owned,56,0,0,0,123,28.0,25,0,C,4,28,31139,23.0
Rural,Large,North,Zone 6,7,1,2,4922,Rented,22,0,0,0,167,20.0,22,0,B,4,23,27137,18.0
Urban,Large,West,Zone 5,7,0,3,5667,Company Owned,63,0,0,1,220,38.0,21,1,A+,3,14,31113,8.0
Rural,Mid,South,Zone 4,1,1,3,5551,Rented,30,0,0,0,134,30.0,15,0,A,2,26,20092,14.0
Rural,Large,North,Zone 6,3,0,3,4200,Rented,57,0,0,1,216,39.0,36,0,A,6,28,49083,25.0
Rural,Large,West,Zone 6,1,0,2,5601,Rented,53,0,0,0,64,40.0,9,0,B,1,29,10145,14.0
Urban,Large,South,Zone 5,3,0,3,3700,Company Owned,66,0,0,1,196,26.0,31,1,A+,5,10,44116,23.0
Rural,Mid,West,Zone 3,4,0,4,4020,Rented,36,0,0,0,240,23.0,6,1,A+,5,19,8127,7.0
Urban,Large,West,Zone 6,4,0,4,4472,Company Owned,50,0,0,1,85,23.0,20,1,C,3,6,27128,14.0
Rural,Mid,North,Zone 4,3,0,5,4248,Company Owned,29,0,0,1,242,31.0,16,0,B+,5,26,20127,14.0
Rural,Mid,North,Zone 2,6,1,2,3943,Rented,38,0,0,0,190,19.0,18,0,A,4,1,23149,15.0
Rural,Mid,South,Zone 3,4,0,2,4897,Rented,44,0,0,0,253,27.0,18,1,A+,2,27,23134,12.0
Rural,Small,North,Zone 6,3,0,4,4524,Company Owned,55,0,0,1,66,24.0,14,0,B+,3,13,18150,8.0
Rural,Large,West,Zone 6,6,0,4,5559,Rented,49,0,0,0,229,20.0,9,1,B+,4,23,10080,9.0
Rural,Large,North,Zone 6,2,4,2,5308,Rented,69,0,0,1,77,39.0,17,0,B,3,23,19095,14.0
Rural,Small,South,Zone 1,1,1,2,4004,Company Owned,38,1,0,1,168,27.0,25,1,C,4,21,32057,14.0
Urban,Large,North,Zone 5,8,0,2,7311,Company Owned,62,0,0,1,219,34.0,21,0,A,6,17,28127,13.0
Urban,Small,North,Zone 1,4,0,2,4657,Rented,39,0,0,0,110,17.0,23,0,B+,5,30,27107,23.0
Rural,Small,North,Zone 6,2,0,4,3810,Rented,54,0,0,1,69,30.0,31,1,A+,2,13,44129,14.0
Rural,Large,South,Zone 6,7,0,4,4445,Rented,47,1,1,1,239,29.0,10,1,A+,5,23,13061,11.0
Rural,Mid,South,Zone 2,3,1,2,5193,Rented,30,0,0,0,237,26.0,20,1,A+,6,32,25145,12.0
Rural,Large,North,Zone 6,1,1,2,4770,Company Owned,37,0,0,1,113,16.0,22,0,B,2,7,26060,14.0
Rural,Large,West,Zone 5,5,0,4,5772,Company Owned,28,0,0,1,181,32.0,25,0,B+,3,25,28143,24.0
Rural,Mid,South,Zone 4,4,0,4,6074,Rented,49,0,0,0,255,22.0,32,0,C,4,26,44116,23.0
Rural,Large,North,Zone 5,1,0,3,6720,Rented,30,0,1,1,90,25.0,22,0,B+,4,17,27069,14.0
Rural,Mid,South,Zone 4,7,0,2,4135,Rented,68,0,0,0,151,19.0,27,0,B+,6,26,34108,20.0
Rural,Mid,South,Zone 2,6,1,3,3880,Company Owned,23,0,1,1,112,35.0,9,1,B+,3,32,11134,14.0
Rural,Mid,South,Zone 2,2,1,2,4821,Rented,68,0,0,1,196,44.0,17,1,C,3,32,22121,14.0
Rural,Mid,North,Zone 2,3,5,2,4197,Company Owned,29,0,0,1,90,38.0,16,1,A+,4,22,21076,14.0
Rural,Large,West,Zone 6,6,0,2,3820,Rented,50,0,0,1,58,29.0,14,1,B+,1,23,18149,9.0
Urban,Large,North,Zone 6,2,3,3,3973,Company Owned,36,0,0,1,140,22.0,22,0,C,5,6,27151,14.0
Rural,Mid,North,Zone 3,2,0,2,4244,Company Owned,38,0,0,1,255,29.0,13,1,B+,3,19,17143,14.0
Rural,Large,North,Zone 5,6,0,3,2802,Company Owned,40,0,0,1,256,28.0,16,1,A,6,24,21130,13.0
Rural,Large,North,Zone 6,0,1,1,8913,Rented,55,0,0,1,95,38.0,14,0,C,6,29,18118,14.0
Urban,Mid,North,Zone 2,3,0,2,5309,Company Owned,16,0,0,1,84,37.0,26,0,B,2,12,30115,14.0
Rural,Small,West,Zone 6,0,0,4,5957,Company Owned,33,0,0,0,83,22.0,8,0,C,1,15,10060,14.0
Rural,Mid,West,Zone 4,8,2,4,3919,Rented,49,0,0,0,173,18.0,6,1,A+,5,26,8102,14.0
Rural,Large,West,Zone 6,5,0,4,7117,Company Owned,23,0,0,0,212,25.0,18,0,B,3,23,20090,15.0
Rural,Small,West,Zone 6,2,1,2,4339,Rented,63,0,0,1,158,11.0,14,0,B+,5,15,17140,14.0
Rural,Large,North,Zone 5,4,2,4,4407,Rented,19,0,0,1,103,21.0,18,0,A,3,24,22100,14.0
