WH_capacity_size,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age,Location_Urban,Zone_North,Zone_South,Zone_West,Regional_Zone_Zone 2,Regional_Zone_Zone 3,Regional_Zone_Zone 4,Regional_Zone_Zone 5,Regional_Zone_Zone 6,Owner_Type_Company Owned,Owner_Type_Rented
1,3,1,2,4651,24,0,1,1,91,29.0,13,0,2,5,15,17115,14.0,1,0,0,1,0,0,0,0,1,0,1
3,0,0,4,6217,47,0,0,1,210,31.0,4,0,2,3,17,5074,14.0,0,1,0,0,0,0,0,1,0,1,0
2,1,0,4,4306,64,0,0,0,161,37.0,17,0,2,6,22,23137,14.0,0,0,1,0,1,0,0,0,0,1,0
2,7,4,2,6000,50,0,0,0,103,21.0,17,1,1,3,27,22115,14.0,0,1,0,0,0,1,0,0,0,0,1
3,3,1,2,4740,42,1,0,1,112,25.0,18,0,5,6,24,24071,14.0,0,1,0,0,0,0,0,1,0,1,0
1,8,0,2,5053,37,0,0,1,152,35.0,23,1,1,3,3,32134,14.0,0,0,0,1,0,0,0,0,0,0,1
3,8,0,4,4449,38,0,0,1,77,27.0,24,0,4,3,6,30142,13.0,0,0,0,1,0,0,0,0,1,1,0
3,1,0,4,7183,45,0,0,0,241,23.0,18,0,5,6,24,24093,14.0,0,1,0,0,0,0,0,1,0,0,1
1,8,1,4,5381,42,0,0,1,124,22.0,13,1,1,5,2,18082,10.0,0,0,1,0,0,0,0,0,1,0,1
1,4,3,3,3869,35,0,0,0,78,43.0,6,0,5,6,2,7130,14.0,0,0,1,0,0,0,0,0,1,1,0
3,7,1,3,4623,31,0,0,1,150,37.0,17,0,3,4,6,21125,24.0,0,1,0,0,0,0,0,0,1,1,0
3,7,0,5,4627,40,0,0,0,225,16.0,11,0,4,2,28,14115,6.0,0,1,0,0,0,0,0,0,1,0,1
2,4,0,3,5012,48,0,0,0,95,28.0,4,0,3,1,1,5124,1.0,1,1,0,0,1,0,0,0,0,0,1
2,6,1,2,6858,26,0,0,1,242,36.0,22,1,2,5,11,30063,15.0,0,0,1,0,0,0,1,0,0,1,0
1,8,1,4,5022,68,0,0,1,129,37.0,6,0,4,3,9,7055,14.0,0,0,0,1,0,0,0,0,1,0,1
2,1,1,3,5062,50,0,0,1,190,19.0,4,0,3,3,12,5094,14.0,0,1,0,0,1,0,0,0,0,1,0
2,0,0,2,5569,16,1,0,1,231,28.0,9,0,3,5,11,12127,14.0,0,0,0,1,0,0,1,0,0,1,0
2,0,1,2,5539,28,0,0,1,261,22.0,13,0,2,4,12,17134,14.0,0,0,0,1,1,0,0,0,0,1,0
2,4,1,4,4598,58,0,0,1,159,22.0,29,1,1,5,27,38082,22.0,0,1,0,0,0,1,0,0,0,0,1
1,1,1,2,5679,19,0,0,1,189,24.0,22,0,4,2,21,27100,14.0,0,0,1,0,0,0,0,0,0,0,1
